id	date	name	location	distance	category	race_type	created_at	race_website	verified	series
229	2017-07-15	10. Kalevipoja Rattamaraton	Kuremaa		C	MTB	2025-04-22 14:33:13.504078	https://estoniancup.ee		Estonian Cup
164	2017-07-26	Filter Temposari V etapp	Kiili	25.12	C	TTP	2025-02-05 21:50:28.195088	https://www.aerobike.ee		Filter Temposari
92	2017-07-29	17. Elva Rattamaraton	Elva		C	MTB	2025-01-31 19:19:32.223965	https://www.rattamaratonid.ee/		Bosch
165	2017-08-09	Filter Temposari VI etapp	Pirita	9.72	C	TT	2025-02-05 21:50:28.195088	https://www.aerobike.ee		Filter Temposari
230	2017-08-12	3. Lähte Rattamaraton	Lähte		C	MTB	2025-04-22 14:33:13.504078	https://estoniancup.ee		Estonian Cup
93	2017-08-20	19. Rõuge Rattamaraton	Rõuge		C	MTB	2025-01-31 19:19:32.223965	https://www.rattamaratonid.ee/		Bosch
133	2017-08-20	19. Rõuge Rattamaraton - XXL-sõit	Rõuge		C	MTB	2025-02-05 11:27:24.307315	https://www.rattamaratonid.ee/		Bosch
231	2017-08-26	18. Otepää Rattamaraton	Otepää		C	MTB	2025-04-22 14:33:13.504078	https://estoniancup.ee		Estonian Cup
166	2017-08-27	Filter Temposari Finaal	Ikla	24.94	C	TT	2025-02-05 21:50:28.195088	https://www.aerobike.ee		Filter Temposari
232	2017-09-09	18. Jõulumäe Rattamaraton	Jõulumäe		C	MTB	2025-04-22 14:33:13.504078	https://estoniancup.ee		Estonian Cup
29	2017-09-17	20. Tartu Rattamaraton	Otepää	89	B	MTB	2025-01-29 12:53:02.712682	https://tartumaraton.ee/		
94	2017-09-30	20. Tallinna Rattamaraton	Tallinn		C	MTB	2025-01-31 19:19:32.223965	https://www.rattamaratonid.ee/		Bosch
134	2017-09-30	20. Tallinna Rattamaraton - XXL-sõit	Tallinn		C	MTB	2025-02-05 11:27:24.307315	https://www.rattamaratonid.ee/		Bosch
235	2017-12-31	Estonian Cup Marathon Series GC 2017	Estonia		B	GC	2025-04-22 16:59:51.512181	https://estoniancup.ee		Estonian Cup
124	2017-12-31	Bosch MTB Marathon Series GC 2017	Estonia		B	GC	2025-02-03 15:01:15.826176	https://www.rattamaratonid.ee/		Bosch
95	2018-04-28	4. Alutaguse Rattamaraton	Alutaguse		C	MTB	2025-01-31 19:25:19.276188	https://www.rattamaratonid.ee/		Bosch
167	2018-05-02	Filter Temposari I etapp	Jüri	14.98	C	TT	2025-02-05 21:50:28.195088	https://www.aerobike.ee		Filter Temposari
96	2018-05-06	18. Mulgi Rattamaraton	Mulgi		C	MTB	2025-01-31 19:25:19.276188	https://www.rattamaratonid.ee/		Bosch
240	2018-05-12	4. Põleva Kivi Rattamaraton	Illuka		C	MTB	2025-04-22 17:11:17.553879	https://estoniancup.ee		Estonian Cup
